Date,Day,Player1,Player2,Player3,Player4,Player5
3/14/2023,Tuesday Steps,"13422","10491","12530","11753","9648"
3/15/2023,Wednesday Steps,"13120","10019","10533","15211","9648"
3/16/2023,Thursday Steps,"14508","10367","11362","11872","10814"
3/17/2023,Friday Steps,"10568","10610","15404","14359","2319"
3/18/2023,Saturday Steps,"16149","4892","12457","16311","11018"
3/19/2023,Sunday Steps,"10668","11920","12457","16192","8482"
3/20/2023,Monday Steps,"10140","16706","12457","22008","6387"
3/21/2023,Tuesday Steps,"10585","13204","12457","13137","18381"
3/22/2023,Wednesday Steps,"3880","13112","12457","10539","4833"
3/23/2023,Thursday Steps,"10155","18080","12457","2883","9147"
3/24/2023,Friday Steps,"9989","17008","12457","3052","5232"
3/25/2023,Saturday Steps,"5564","8647","12457","10260","11529"
3/26/2023,Sunday Steps,"13305","15089","12457","11340","16102"
3/27/2023,Monday Steps,"3689","16177","12457","3660","19758"
3/28/2023,Tuesday Steps,"8604","26482","12457","12309","1421"
,,,,,,
,Total Steps,"154,346","202,804","186,859","174,886","144,719"
,Individual Average,"10,410","12,594","12,457","11,613","10,236"
,,,,,,
,Team Total Steps,"863,614",,,,
,Team Average,"11,462",,,,
