Date,Day,PlayerA,PlayerB,PlayerC,PlayerD,PlayerE,PlayerF
3/14/2023,Tuesday Active Minutes,1,,10,60,41,42
3/15/2023,Wednesday Active Minutes,6,32,57,54,18,42
3/16/2023,Thursday Active Minutes,2,42,53,24,23,44
3/17/2023,Friday Active Minutes,0,75,9,75,7,83
3/18/2023,Saturday Active Minutes,29,25,0,103,23,80
3/19/2023,Sunday Active Minutes,10,35,53,68,0,13
3/20/2023,Monday Active Minutes,3,6,0,61,33,19
3/21/2023,Tuesday Active Minutes,0,7,,27,25,52
3/22/2023,Wednesday Active Minutes,5,26,11,37,17,21
3/23/2023,Thursday Active Minutes,3,6,11,77,17,30
3/24/2023,Friday Active Minutes,2,196,9,10,25,2
3/25/2023,Saturday Active Minutes,1,171,21,77,8,15
3/26/2023,Sunday Active Minutes,6,10,9,162,22,9
3/27/2023,Monday Active Minutes,6,3,51,150,6,11
,Total Active Minutes,74,634,294,985,265,463
,,,,,,,
,,,,,,,
,Total Team Active Minutes,2715,,,,,
